Causes of death,Year,under 1 year_Male,1 to under 15 years_Male,15 to under 20 years_Male,20 to under 25 years_Male,25 to under 30 years_Male,30 to under 35 years_Male,35 to under 40 years_Male,40 to under 45 years_Male,45 to under 50 years_Male,50 to under 55 years_Male,55 to under 60 years_Male,60 to under 65 years_Male,65 to under 70 years_Male,70 to under 75 years_Male,75 to under 80 years_Male,80 to under 85 years_Male,85 years and over_Male,under 1 year_Female,1 to under 15 years_Female,15 to under 20 years_Female,20 to under 25 years_Female,25 to under 30 years_Female,30 to under 35 years_Female,35 to under 40 years_Female,40 to under 45 years_Female,45 to under 50 years_Female,50 to under 55 years_Female,55 to under 60 years_Female,60 to under 65 years_Female,65 to under 70 years_Female,70 to under 75 years_Female,75 to under 80 years_Female,80 to under 85 years_Female,85 years and over_Female
HIV disease,2019,-,-,-,-,6,9,12,15,29,30,41,29,17,16,16,10,2,-,1,-,-,-,4,2,8,6,7,7,8,2,4,-,2,2
Neoplasms,2019,6,143,71,91,134,225,384,621,1585,4032,7998,11794,15882,16692,24123,24099,21402,12,109,47,60,115,305,578,870,1691,3971,6458,8550,11046,11927,18122,20922,25526
Malignant neoplasms,2019,6,140,68,89,126,216,372,602,1549,3979,7884,11580,15570,16300,23416,23144,20150,6,103,46,57,114,300,564,856,1675,3933,6365,8429,10850,11673,17573,19998,23585
"Malignant neoplasms of lip, oral cavity, pharynx",2019,-,-,-,1,2,5,11,27,86,260,584,648,653,528,480,372,231,-,-,-,-,1,2,8,12,26,72,138,172,200,176,198,216,258
Malignant neoplasms of oesophagus,2019,-,-,-,-,-,2,16,27,88,247,433,618,743,675,727,581,353,-,-,-,-,-,1,3,6,10,40,82,159,152,175,242,231,231
Malignant neoplasms of stomach,2019,-,-,-,3,6,15,23,50,107,231,372,485,644,609,826,924,804,-,-,-,-,5,13,33,38,67,121,181,221,298,301,543,686,921
Malignant neoplasms of colon,2019,-,-,2,2,6,16,24,39,100,232,410,628,822,970,1576,1613,1698,-,-,1,1,2,14,25,48,88,154,289,457,523,715,1158,1671,2546
"Malig. neopl. of rectum,anus,rectosigmoid junction",2019,-,-,-,1,4,6,17,24,70,203,347,460,642,642,802,864,651,-,-,-,-,3,4,15,19,58,113,186,229,325,321,525,634,972
"Malignant neoplasms of liver, bile ducts, pancreas",2019,-,2,3,2,7,20,28,61,212,515,1059,1739,2282,2443,3360,3038,2023,1,2,1,3,4,18,22,51,136,331,639,1027,1485,1704,2743,3062,3089
"Malig. neoplasms of liver, intrahepatic bile ducts",2019,-,2,3,2,4,6,10,23,53,131,320,580,838,857,1112,987,591,1,2,1,1,3,5,9,18,30,62,135,209,302,325,481,554,511
Malignant neoplasms of pancreas,2019,-,-,-,-,2,7,16,35,143,344,675,1030,1245,1348,1873,1709,1157,-,-,-,1,1,12,12,25,85,223,429,693,977,1161,1889,2089,2041
"Malig. neoplasms of larynx,trachea,bronchus,lung",2019,-,1,-,2,4,12,32,86,292,977,2334,3624,4665,4501,5479,4441,2649,-,-,-,-,1,11,22,74,233,749,1439,2260,2738,2614,2848,2317,1906
Malignant neoplasms of bronchus and lung,2019,-,1,-,2,4,11,32,81,275,922,2205,3448,4449,4338,5265,4279,2546,-,-,-,-,1,10,22,74,232,745,1418,2243,2703,2565,2806,2285,1885
Melanoma and other malignant neoplasms of skin,2019,-,1,1,4,5,10,23,30,58,94,115,165,239,229,436,467,543,-,-,1,1,2,9,11,15,37,74,74,83,115,129,243,299,584
Malignant melanoma of skin,2019,-,1,1,4,4,10,23,27,55,88,104,141,203,177,330,349,272,-,-,1,1,2,9,10,15,32,69,65,72,102,109,203,224,318
Malignant neoplasms of breast,2019,-,-,-,-,-,-,-,1,6,8,14,11,20,33,22,43,35,-,-,1,1,22,85,200,292,485,1026,1411,1324,1692,1775,2802,3271,4132
"Malig. neoplasms of genital organs, urinary tract",2019,2,3,2,4,14,12,29,38,111,343,728,1262,2134,2732,5072,6046,7182,-,5,2,4,23,55,105,158,259,628,978,1210,1597,1600,2761,3230,3652
Malignant neoplasms of cervix uteri,2019,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,8,33,56,65,90,177,174,181,183,143,160,166,158
"Malig. neopl. of corpus uteri,uterus, part unspec.",2019,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,1,5,25,20,77,159,219,299,305,483,535,528
Malignant neoplasms of ovary,2019,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,11,14,26,48,103,257,409,483,618,583,962,959,816
Malignant neoplasms of prostate,2019,-,-,-,-,1,1,1,1,13,93,244,542,1118,1563,3076,3826,4561,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Malignant neoplasms of kidney, except renal pelvis",2019,2,3,-,-,1,-,8,16,44,95,187,267,337,386,620,671,593,-,3,-,-,1,-,4,8,11,21,67,79,161,142,344,458,621
Malignant neoplasms of bladder,2019,-,-,-,-,-,2,5,6,18,58,118,208,321,362,665,807,1254,-,-,-,-,-,2,4,7,13,23,39,84,112,132,276,438,684
"Malig. neopl.of lymphoid,haematopoietic,rel.tissue",2019,1,37,20,25,23,36,40,53,99,255,464,686,1075,1253,2342,2443,1999,1,35,10,13,16,23,31,41,65,167,250,388,662,897,1714,2228,2325
Leukaemia,2019,1,31,12,22,15,19,25,27,41,108,174,268,424,531,984,1017,891,1,28,8,11,11,18,21,24,31,69,107,151,248,348,690,868,1036
Benign neoplasms,2019,-,-,-,1,2,3,5,5,6,10,9,18,26,32,53,65,87,-,1,-,-,1,1,2,9,4,9,21,20,39,32,85,104,179
Diseases of the blood and blood-forming organs,2019,8,9,1,2,4,10,9,14,31,48,63,81,127,120,246,299,539,6,6,5,2,1,9,6,13,13,35,33,60,90,131,261,419,1093
"Endocrine, nutritional and metabolic diseases",2019,15,26,11,26,25,40,63,100,205,442,713,994,1279,1412,2291,3207,4451,10,24,7,15,18,27,54,48,103,189,325,464,691,958,1901,3643,9849
Diabetes mellitus,2019,-,-,2,4,11,11,32,52,107,271,486,697,943,1102,1816,2544,3275,-,2,-,-,5,11,20,13,42,87,180,270,447,645,1329,2778,6713
Mental and behavioural disorders,2019,1,6,11,13,38,93,168,222,345,572,797,886,904,1117,2567,4747,9279,1,4,5,7,16,25,58,40,89,170,246,305,432,853,2710,6340,24772
Mental and behav. disorders due to use of alcohol,2019,-,-,2,-,9,39,76,120,236,429,636,680,551,372,321,191,98,-,-,-,-,2,5,25,17,46,100,155,144,128,124,133,84,83
Mental a.behav. dis. due to oth. psychoactive sub.,2019,-,-,8,7,23,43,76,82,69,75,51,32,20,10,3,2,6,-,-,1,2,8,10,20,15,21,19,17,9,9,5,7,3,9
Diseases of the nervous system and sensory organs,2019,22,71,41,49,59,72,104,124,212,365,624,831,1170,1479,3327,4292,4365,22,52,28,26,35,34,52,61,142,316,482,607,884,1139,2592,3865,6681
Meningitis,2019,2,1,-,-,1,3,4,2,4,4,7,6,3,7,7,12,6,-,2,1,-,-,-,-,-,3,4,2,7,3,6,8,14,7
Diseases of the circulatory system,2019,15,29,27,42,71,183,292,572,1281,2917,5200,7631,10791,12287,23003,33686,54588,17,19,13,20,33,99,165,209,467,958,1680,2827,4541,6742,16145,33239,111422
Hypertensive diseases,2019,1,1,-,-,2,8,18,25,75,169,322,508,681,821,1712,2913,6860,3,1,-,-,-,1,1,9,15,54,114,234,417,608,1878,4633,21193
Ischaemic heart diseases,2019,2,-,1,6,10,41,95,244,605,1478,2687,3926,5385,5837,10311,14487,21417,-,2,1,1,-,13,31,41,122,295,587,1003,1599,2288,5053,9975,31539
Acute or subsequent myocardial infarction,2019,-,-,1,4,6,33,70,180,419,1005,1704,2249,2839,2685,4068,4854,5804,-,1,1,1,-,7,20,24,84,199,369,620,905,1136,2235,3765,8994
Other forms of heart disease,2019,8,23,13,12,26,55,68,102,214,456,799,1168,1625,2037,4082,6706,13094,12,8,5,7,8,26,34,50,83,132,240,467,751,1281,3336,7544,29133
Other diseases of endocardium,2019,-,1,3,4,8,11,7,14,39,85,132,200,347,431,968,1531,2659,1,3,3,2,2,3,7,6,17,22,49,96,163,268,689,1674,5711
Cerebrovascular diseases,2019,-,1,5,11,9,23,42,98,145,369,625,983,1596,2016,3974,5593,7452,-,4,1,3,9,24,50,52,114,265,359,585,946,1375,3438,6441,16511
"Stroke, not specified as haemorrhage or infarction",2019,-,-,-,-,-,1,2,4,11,26,56,114,233,319,675,1033,1685,-,1,-,-,-,1,1,-,2,13,26,63,97,223,534,1242,4340
"Diseases of arteries, arterioles and capillaries",2019,1,-,-,1,4,16,27,29,80,162,274,417,598,617,1080,1291,1558,-,-,-,1,2,6,8,15,37,58,117,174,303,363,686,1120,3060
Diseases of the respiratory system,2019,9,27,4,10,15,34,48,94,204,500,1137,2032,3191,3926,6534,7886,10436,11,16,9,14,14,18,24,49,111,301,717,1312,2121,2639,4287,5956,13335
Influenza,2019,1,7,-,2,2,4,4,11,13,33,40,69,77,99,147,146,245,-,5,2,3,2,5,5,5,8,20,22,42,49,49,88,121,333
Pneumonia,2019,3,7,1,2,7,11,14,22,64,109,202,299,495,652,1462,2209,3968,4,4,1,4,3,3,7,13,24,44,76,137,231,330,843,1730,5533
Chronic lower respiratory diseases,2019,-,3,-,1,2,8,11,37,82,270,727,1377,2125,2551,3660,3838,4155,-,2,2,2,2,3,5,20,51,198,520,996,1587,1938,2702,3061,5158
Asthma,2019,-,2,-,-,2,4,5,13,13,20,33,42,31,29,50,63,96,-,1,1,1,1,2,4,5,7,22,37,32,34,49,90,110,278
"COVID-19, virus detected",2019,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"COVID-19, virus not detected",2019,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Diseases of the digestive system,2019,9,5,4,14,28,96,181,315,605,1347,1915,2350,2556,2174,3025,3388,3947,4,5,3,12,16,37,89,134,274,546,836,1079,1349,1364,2426,3566,7722
"Gastric, duodenal, peptic, gastrojejunal ulcer",2019,-,-,-,1,2,1,6,13,14,32,69,68,127,112,187,222,327,-,-,-,-,-,3,1,4,2,16,23,49,69,60,163,245,621
Diseases of liver,2019,-,3,-,4,13,72,124,224,446,1008,1367,1593,1575,1086,1145,924,546,-,-,1,3,8,23,62,91,205,383,562,644,717,580,756,754,651
"Alcohol. liver dis.,chr. hepatitis,fibrosis,cirrh.",2019,-,1,-,2,11,69,117,215,429,978,1321,1520,1497,1009,1011,793,430,-,-,1,1,6,19,54,84,188,370,523,588,653,506,604,595,428
Diseases of the skin and subcutaneous tissue,2019,-,-,-,-,-,-,4,4,7,12,23,43,48,66,111,159,210,-,-,1,1,-,1,-,4,7,10,20,27,49,73,123,223,493
Diseases of musculoskeletal sys. a. connec. tissue,2019,1,1,2,4,7,7,7,13,32,58,75,118,178,225,350,468,513,-,4,1,2,6,7,9,8,21,42,81,90,149,203,440,683,1562
Chronic polyarthritis and arthrosis,2019,-,-,-,-,-,-,-,1,3,7,15,32,31,39,77,113,133,-,-,-,-,-,1,1,1,4,9,13,19,33,42,134,200,484
Diseases of the genitourinary system,2019,1,3,1,3,4,7,18,20,38,91,184,297,531,758,1590,2663,4876,1,-,2,1,2,6,9,15,28,59,109,178,357,523,1362,2696,8307
Disorders of kidney,2019,1,3,-,3,2,6,14,17,29,70,127,226,370,541,1139,1914,3615,1,-,1,1,1,5,8,12,21,41,83,127,245,364,945,1956,6391
"Pregnancy, childbirth and the puerperium",2019,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,7,8,3,1,-,-,-,-,-,-,-,-
Certain conditions origin. in the perinatal period,2019,768,5,1,3,6,10,6,4,5,6,6,6,8,4,5,2,1,571,7,1,1,4,2,1,1,5,4,6,6,5,4,1,2,5
"Congenital malform.,deform. a. chromosomal abnorm.",2019,346,81,14,26,23,11,21,26,31,73,113,108,72,40,48,39,42,347,72,13,11,14,14,13,20,26,52,69,76,63,36,42,40,62
Congenital malformations of the nervous system,2019,31,19,2,5,7,1,3,7,1,4,7,1,4,2,-,3,1,43,18,5,2,2,8,-,2,2,3,3,1,3,2,5,1,5
Congenital malformations of the circulatory system,2019,116,30,7,9,9,4,7,6,5,14,19,13,11,13,23,15,15,110,20,6,6,4,2,5,8,5,9,13,14,6,13,16,19,29
"Symp., signs a. abnormal clinical a. lab. findings",2019,155,68,63,108,158,218,356,520,868,1579,2151,2406,2611,2176,2742,2610,3033,77,52,28,50,71,105,146,154,267,473,770,932,1158,1182,1842,2425,5858
Sudden infant death syndrome,2019,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Other ill-defined and unknown causes of mortality,2019,77,60,60,107,154,212,348,511,846,1537,2094,2353,2533,2094,2588,2388,2325,42,50,28,47,69,101,143,148,258,466,755,900,1107,1134,1693,2158,3682
External causes of morbidity and mortality,2019,18,124,351,589,635,721,784,851,991,1413,1688,1633,1593,1530,2747,3502,5380,13,71,101,132,161,170,180,206,283,532,533,588,640,847,1774,2913,8085
"Accidents, including their sequelae",2019,12,93,204,297,297,332,345,376,450,646,845,916,1019,1022,1930,2744,4549,6,51,50,63,68,69,75,80,114,241,268,333,430,630,1485,2575,7450
Transport accidents,2019,3,24,152,205,166,151,117,112,134,203,234,197,178,123,203,221,124,2,25,37,47,34,27,23,25,31,67,58,43,51,52,109,105,90
Falls,2019,-,17,2,13,18,29,36,43,59,164,241,311,461,504,1064,1744,3285,-,4,2,3,1,3,7,17,14,52,71,128,175,324,847,1671,5347
Accidental drowning and submersion,2019,-,24,15,15,25,14,13,16,16,17,18,24,14,14,23,12,19,-,9,2,2,1,3,1,-,-,8,7,5,8,13,22,24,15
"Exposure to smoke, fire and flames",2019,-,-,1,1,5,4,8,6,15,18,25,26,25,18,28,27,15,-,2,-,-,4,5,-,3,2,10,7,10,18,9,10,20,21
Accid. poisoning by and exposure to noxious subst.,2019,2,3,19,30,54,104,108,124,112,82,80,49,28,27,27,17,16,-,1,2,6,16,25,28,17,26,36,30,23,16,11,27,18,44
Intentional self-harm,2019,-,11,121,235,289,329,367,381,451,667,707,600,490,413,649,578,554,-,11,42,51,72,88,82,100,148,257,224,212,163,160,200,197,192
Assault,2019,6,13,10,10,14,11,8,21,17,8,20,11,9,8,3,6,5,5,7,3,10,10,5,10,13,8,8,10,9,10,9,10,6,11
Event of undetermined intent,2019,-,6,16,47,34,47,64,71,68,88,113,102,72,84,150,168,249,2,2,6,8,11,8,13,13,13,25,31,34,35,47,74,132,399
Total,2019,1387,615,608,990,1227,1753,2491,3569,6554,13671,23017,31652,41530,44770,74024,92768,125259,1098,456,266,360,518,882,1408,1866,3586,7744,12535,17314,23974,29120,55041,88671,228796
Certain infectious and parasitic diseases,2020,7,7,.,8,8,17,53,57,112,177,314,423,595,638,1103,1644,2197,3,7,.,5,7,11,14,22,46,84,146,239,370,466,861,1667,3774
"Tuberculosis, including its sequelae",2020,-,-,-,.,.,3,3,3,7,11,11,11,8,9,27,29,41,.,-,-,.,.,.,-,.,.,3,3,.,10,8,14,29,31
Meningococcal infection,2020,3,.,-,-,-,.,-,-,.,-,-,.,-,-,-,.,-,-,.,-,-,-,-,-,-,-,.,-,.,-,-,.,-,3
Viral hepatitis,2020,-,-,-,-,-,.,9,15,23,21,34,41,35,19,33,32,19,-,-,-,-,-,-,3,.,3,9,17,21,31,22,21,45,67
HIV disease,2020,-,-,-,.,-,3,14,11,21,37,43,29,28,14,17,11,.,-,-,-,-,.,3,5,4,8,7,4,.,.,.,.,.,-
Neoplasms,2020,8,112,67,99,123,215,392,705,1421,3861,8003,11964,15862,17015,22191,25087,22791,9,83,39,52,111,306,524,904,1630,3699,6347,8558,10987,12092,16780,21224,26291
Malignant neoplasms,2020,5,109,64,93,116,207,383,692,1391,3799,7877,11767,15577,16677,21564,24068,21502,5,75,37,51,108,300,518,892,1601,3659,6254,8452,10788,11808,16255,20280,24297
"Malignant neoplasms of lip, oral cavity, pharynx",2020,-,-,-,.,5,4,17,32,76,276,541,668,681,529,467,407,251,-,.,.,-,.,3,7,11,19,53,110,152,185,182,177,220,275
Malignant neoplasms of oesophagus,2020,-,-,.,-,.,6,12,29,69,238,478,673,749,631,660,609,399,-,-,-,-,.,3,3,7,18,37,100,159,184,171,208,235,271
Malignant neoplasms of stomach,2020,-,.,.,-,6,11,31,41,89,198,384,502,605,667,788,902,805,-,-,.,.,6,15,27,46,71,120,159,222,273,321,437,666,955
Malignant neoplasms of colon,2020,-,-,-,3,5,15,26,44,89,231,463,663,839,1021,1447,1729,1660,-,-,-,.,4,15,27,45,63,173,273,442,529,655,1042,1508,2680
"Malig. neopl. of rectum,anus,rectosigmoid junction",2020,-,-,-,-,6,9,11,31,70,156,347,482,616,681,772,886,704,-,-,-,-,-,8,11,26,53,106,190,256,299,318,475,664,856
"Malignant neoplasms of liver, bile ducts, pancreas",2020,-,-,-,3,7,19,41,70,189,504,1097,1728,2302,2467,3097,3213,2125,-,.,.,3,5,8,24,59,115,319,677,1035,1477,1738,2549,3188,3157
"Malig. neoplasms of liver, intrahepatic bile ducts",2020,-,-,-,.,6,8,17,17,64,140,319,583,851,921,1041,1043,664,-,.,.,.,4,4,10,19,25,71,154,229,330,354,458,563,556
Malignant neoplasms of pancreas,2020,-,-,-,.,.,7,19,50,113,314,691,1006,1265,1321,1738,1770,1152,-,-,-,.,.,.,11,35,77,210,456,668,957,1157,1728,2142,2029
"Malig. neoplasms of larynx,trachea,bronchus,lung",2020,-,-,-,.,7,6,34,102,284,909,2235,3623,4726,4595,5048,4453,2798,.,.,-,.,.,11,30,69,197,687,1388,2164,2814,2764,2812,2354,1968
Malignant neoplasms of bronchus and lung,2020,-,-,-,.,7,6,32,101,275,874,2131,3463,4538,4429,4871,4309,2695,.,.,-,.,.,11,30,68,196,678,1371,2139,2798,2720,2774,2336,1927
Melanoma and other malignant neoplasms of skin,2020,-,-,-,.,4,8,15,37,46,90,128,156,196,242,379,511,582,-,-,-,.,4,9,15,18,35,67,92,91,101,108,193,283,575
Malignant melanoma of skin,2020,-,-,-,.,4,8,15,35,44,87,119,135,161,207,291,353,318,-,-,-,.,4,8,15,18,32,64,80,81,88,89,160,220,301
Malignant neoplasms of breast,2020,-,-,-,-,-,-,-,-,3,10,13,18,20,15,27,29,31,-,-,-,.,22,86,156,299,502,940,1335,1387,1658,1782,2595,3311,4351
"Malig. neoplasms of genital organs, urinary tract",2020,-,3,.,3,14,11,34,52,91,315,697,1325,2150,2856,4585,6323,7742,-,.,-,5,19,65,92,151,272,608,1001,1327,1567,1688,2472,3441,3779
Malignant neoplasms of cervix uteri,2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,30,49,69,86,157,192,186,165,128,150,168,161
"Malig. neopl. of corpus uteri,uterus, part unspec.",2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,.,6,4,11,29,104,152,246,311,348,431,566,549
Malignant neoplasms of ovary,2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,12,22,21,47,101,239,397,504,590,610,886,1047,786
Malignant neoplasms of prostate,2020,-,-,-,.,-,-,-,.,17,97,234,585,1113,1670,2809,4016,4859,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Malignant neoplasms of kidney, except renal pelvis",2020,-,3,-,.,.,.,3,14,25,84,189,259,375,358,537,616,654,-,.,-,.,-,.,.,.,13,25,77,115,156,188,305,488,657
Malignant neoplasms of bladder,2020,-,-,-,-,.,-,4,7,18,47,112,220,276,386,605,883,1383,-,-,-,-,-,-,6,10,12,29,56,98,103,134,243,455,789
"Malig. neopl.of lymphoid,haematopoietic,rel.tissue",2020,3,24,21,29,28,30,48,68,99,250,481,697,1056,1375,2140,2702,2195,.,21,7,10,12,21,31,45,76,156,250,403,618,869,1576,2230,2488
Leukaemia,2020,3,19,19,21,18,17,27,35,35,97,182,274,430,601,937,1111,958,.,18,6,6,7,16,16,20,34,71,103,159,224,331,631,851,1079
Benign neoplasms,2020,.,.,-,3,3,.,.,3,3,3,25,18,21,28,52,88,103,-,.,-,-,-,.,.,3,11,11,14,15,28,40,83,91,179
Diseases of the blood and blood-forming organs,2020,3,9,5,7,6,8,18,17,30,37,94,105,133,163,294,428,621,.,7,4,3,7,3,7,9,16,24,49,49,94,135,256,515,1233
"Endocrine, nutritional and metabolic diseases",2020,9,27,8,19,26,56,94,152,206,425,742,1081,1364,1536,2249,3492,5165,10,18,9,12,16,18,40,43,115,189,313,508,701,1055,1929,3952,11049
Diabetes mellitus,2020,-,-,.,6,9,21,46,85,112,235,458,726,1017,1188,1731,2744,3788,-,-,3,5,8,9,9,23,50,99,162,303,451,693,1330,2895,7600
Mental and behavioural disorders,2020,-,5,9,27,37,93,176,246,315,643,894,938,983,1179,2486,4996,9665,-,4,4,11,22,25,47,74,96,170,264,347,521,861,2683,6690,25102
Mental and behav. disorders due to use of alcohol,2020,-,-,.,3,11,40,87,119,198,460,670,685,581,350,314,220,110,-,-,-,-,-,6,16,34,59,104,169,163,192,119,111,106,83
Mental a.behav. dis. due to oth. psychoactive sub.,2020,-,-,7,16,19,45,71,94,76,92,62,33,21,5,.,5,5,-,-,.,.,8,8,18,20,16,17,17,7,5,4,5,5,9
Diseases of the nervous system and sensory organs,2020,15,63,36,58,43,82,110,127,155,388,598,824,1165,1682,3110,4629,4779,17,49,10,21,21,44,46,83,137,228,490,613,859,1236,2469,4091,7152
Meningitis,2020,-,.,-,-,-,-,-,-,.,.,.,6,3,10,7,8,6,.,.,-,-,-,-,.,4,-,-,.,6,5,7,5,12,11
Diseases of the circulatory system,2020,18,21,25,32,64,181,328,619,1233,2935,5393,8033,11021,13098,21079,34646,58830,12,26,17,29,55,77,143,214,453,894,1704,2797,4685,7076,14894,33545,113824
Hypertensive diseases,2020,.,-,-,.,4,6,23,29,84,171,376,548,722,946,1777,3427,8002,-,.,-,-,-,3,6,12,30,56,119,223,396,739,1870,4973,23354
Ischaemic heart diseases,2020,.,.,-,4,12,51,103,270,594,1508,2815,4161,5471,6192,9330,14978,23108,-,.,.,.,4,8,23,55,122,280,570,1035,1737,2404,4640,10015,31967
Acute or subsequent myocardial infarction,2020,.,.,-,4,11,36,74,201,415,1024,1812,2457,2888,2865,3643,5029,5983,-,.,-,-,.,7,15,39,86,201,378,648,971,1216,2030,3710,8782
Other forms of heart disease,2020,12,14,12,16,18,56,88,120,196,481,764,1134,1656,2136,3778,6771,13832,10,9,7,9,11,20,25,36,61,122,234,440,756,1253,2992,7604,28885
Other diseases of endocardium,2020,.,.,-,.,3,7,14,21,30,61,141,212,341,443,815,1443,2683,-,.,-,4,-,.,4,11,21,23,41,80,139,299,655,1603,5601
Cerebrovascular diseases,2020,-,3,6,3,11,17,42,72,144,353,659,1074,1710,2153,3637,5609,7836,.,7,3,4,16,26,34,52,128,233,444,580,956,1467,3108,6325,16594
"Stroke, not specified as haemorrhage or infarction",2020,-,-,-,-,-,-,-,5,10,28,59,130,244,330,613,1078,1829,-,.,.,-,.,.,-,3,4,8,21,49,128,207,510,1268,4390
"Diseases of arteries, arterioles and capillaries",2020,-,.,4,.,3,11,21,43,72,118,264,470,562,644,883,1248,1651,-,4,-,.,4,.,9,12,24,63,119,174,269,374,633,1138,3068
Diseases of the respiratory system,2020,9,16,8,11,14,30,59,87,185,477,1057,1909,3079,3893,5615,7628,9828,6,18,.,9,8,12,22,56,93,259,624,1268,1986,2513,3723,5487,11357
Influenza,2020,.,3,.,.,.,5,5,6,11,28,36,43,73,55,108,141,211,.,5,.,4,.,-,3,5,7,9,15,33,41,33,53,119,247
Pneumonia,2020,.,5,.,3,.,8,15,32,55,96,178,263,428,664,1204,2058,3596,.,7,-,.,.,8,.,14,21,35,80,123,183,319,674,1531,4287
Chronic lower respiratory diseases,2020,.,4,.,3,4,5,13,27,75,256,654,1316,2086,2504,3128,3738,4054,.,.,.,.,3,.,6,21,37,174,457,982,1541,1864,2360,2853,4749
Asthma,2020,-,4,.,.,.,5,4,4,12,17,35,35,27,25,44,67,105,-,.,.,-,3,.,4,6,11,17,31,36,32,46,57,111,300
"COVID-19, virus detected",2020,-,-,-,.,10,13,29,40,108,220,467,777,1230,1762,3139,5183,7268,-,3,.,.,6,4,8,20,42,87,161,332,492,820,1794,4001,10490
"COVID-19, virus not detected",2020,-,-,-,-,.,.,5,6,9,12,19,35,37,58,97,159,253,-,-,-,-,.,.,-,3,3,7,13,8,19,23,48,115,314
Diseases of the digestive system,2020,7,7,.,11,41,110,238,369,654,1368,2119,2487,2832,2220,2716,3328,4159,3,4,.,8,10,40,100,150,259,557,942,1161,1373,1551,2215,3554,7912
"Gastric, duodenal, peptic, gastrojejunal ulcer",2020,-,-,-,-,-,4,10,7,25,29,73,90,122,118,168,224,405,-,-,-,-,-,-,-,4,4,14,37,44,60,95,154,223,659
Diseases of liver,2020,.,.,.,4,20,75,143,276,481,993,1489,1685,1727,1145,989,914,624,-,.,-,6,7,31,78,111,182,397,650,721,725,653,686,768,701
"Alcohol. liver dis.,chr. hepatitis,fibrosis,cirrh.",2020,-,-,-,3,19,68,130,263,463,960,1432,1619,1639,1071,884,776,490,-,-,-,.,5,30,71,106,165,367,603,657,646,574,567,608,483
Diseases of the skin and subcutaneous tissue,2020,-,.,-,-,.,.,.,6,7,14,29,47,61,72,98,168,197,-,-,-,-,-,-,3,.,5,6,15,35,38,53,105,205,549
Diseases of musculoskeletal sys. a. connec. tissue,2020,-,.,-,.,6,11,7,10,23,56,85,136,190,221,341,517,628,-,.,.,.,.,5,11,6,18,50,74,113,160,208,400,655,1775
Chronic polyarthritis and arthrosis,2020,-,-,-,-,-,.,-,.,6,5,15,23,36,62,88,109,140,-,-,-,.,-,.,.,-,4,6,15,28,38,61,117,181,498
Diseases of the genitourinary system,2020,.,-,-,.,3,5,12,14,43,109,171,314,532,816,1536,2789,5190,-,.,-,.,.,3,6,17,22,53,103,190,340,580,1221,2853,8461
Disorders of kidney,2020,.,-,-,.,3,3,8,12,29,73,120,212,368,547,1026,1964,3704,-,.,-,.,.,3,4,10,14,30,70,116,230,377,828,2014,6492
"Pregnancy, childbirth and the puerperium",2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,.,5,8,10,4,-,-,-,-,-,-,-,-,-
Certain conditions origin. in the perinatal period,2020,699,.,.,.,.,-,.,.,5,8,4,.,3,-,3,4,-,553,7,.,5,-,.,4,3,.,-,8,6,9,3,4,.,5
"Congenital malform.,deform. a. chromosomal abnorm.",2020,376,62,16,20,12,19,25,22,39,60,104,96,71,28,34,31,39,355,53,9,11,12,13,19,21,29,64,80,76,63,36,28,42,65
Congenital malformations of the nervous system,2020,35,12,4,3,.,.,.,3,6,-,.,.,.,.,.,.,.,32,10,.,3,3,-,3,6,6,4,3,.,.,.,.,.,5
Congenital malformations of the circulatory system,2020,131,19,8,9,4,4,13,7,7,14,8,13,12,8,14,11,21,127,20,3,3,3,6,4,4,7,12,9,7,12,4,8,23,29
"Symp., signs a. abnormal clinical a. lab. findings",2020,118,68,56,110,149,216,327,472,763,1410,2168,2383,2348,2025,2247,2501,3058,105,57,30,38,71,97,144,170,277,438,724,919,1028,1194,1591,2265,5662
Sudden infant death syndrome,2020,54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
